longitude,latitude,number
35.21002,31.77375,22
118.80372,32.05777,1
118.716568,32.202389,1
138.919176,-34.894498,40
8.522233,47.427657,70
115.9,35.58,2
113.088974,28.185,5
-93.583333,41.033333,96
118.948611,32.1575,12
11.25,43.766667,5
72.877656,19.075983,3
5.18975,52.118528,36
-94.1574263,36.0625795,3
117.1167962,39.2316407,2
-105.548056,28.182222,30
-98.903639,19.649,180
121.3,29.8,64
-120.5542,43.8041334,60
