,Shannon,Groups
SRR12506069,3.209304391,Nano
SRR12506070,3.102841161,Nano
SRR12506071,3.111377218,Nano
SRR12506072,3.635583505,Nano
SRR12506073,3.116917842,Nano
SRR12506074,3.435250258,Nano
SRR12506075,3.378657595,Nano
SRR12506076,3.186169699,Nano
SRR12506077,3.197201648,Control
SRR12506078,3.234875234,Control
SRR12506079,3.010139039,Control
SRR12506080,3.576771373,Control
SRR12506081,3.141867257,Control
SRR12506082,3.448770629,Control
SRR12506083,3.121587048,Control
SRR12506084,2.792098288,Control
SRR12506085,3.685729931,Nano
SRR12506086,3.100484687,Nano
SRR8781896,3.727253958,Control
SRR8781897,2.995569266,Control
SRR8781898,2.226518214,Control
SRR8781899,4.213323457,Control
SRR8781900,4.724679151,Control
SRR8781901,4.77220428,Control
SRR8781902,4.508651458,Control
SRR8781903,4.375281852,Control
SRR8781904,4.546239451,Control
SRR8781905,4.423753737,Nano
SRR8781906,4.571748673,Nano
SRR8781907,3.933760296,Control
SRR8781908,4.278802868,Control
SRR8781909,3.699648486,Nano
SRR8781911,4.39536955,Control
SRR8781912,4.341471883,Control
SRR8781915,3.198336874,Nano
SRR8781917,3.153742325,Nano
SRR8781919,2.790145691,Nano
SRR8781920,0.84968443,Nano
SRR8781921,4.380139077,Nano
SRR8781922,4.298566434,Nano
SRR8781923,4.314913794,Control
SRR8781924,4.456415015,Control
SRR8781925,4.46405534,Control
SRR8781926,3.823262592,Control
SRR8781927,2.071628003,Control
SRR8781928,0.689791715,Control
SRR8781929,4.333707523,Nano
SRR8781930,4.417261647,Nano
SRR8781931,4.46637951,Control
SRR8781932,2.044666193,Nano
SRR8781933,0.702826188,Nano
SRR8781934,2.480006088,Nano
SRR8781935,2.597176608,Nano
SRR8781936,2.579880576,Control
SRR8781937,2.031299832,Control
SRR8781938,1.985128315,Control
SRR8781940,4.230571214,Control
SRR8781942,4.367404969,Nano
SRR8781943,4.629034662,Nano
SRR8781944,4.26454027,Nano
SRR8781945,4.464024656,Nano
SRR8781946,4.385878762,Nano
SRR8781947,4.142739216,Nano
SRR8781948,4.448716657,Nano
SRR8781949,4.48068518,Nano
SRR8781950,3.334341452,Nano
SRR8781951,4.070991596,Nano
SRR8781952,4.648450777,Nano
SRR8781953,2.809168935,Control
SRR8781954,3.279131118,Control
SRR8781955,4.233280285,Control
SRR8781956,1.771531683,Control
SRR8781957,1.439793291,Control
SRR8781958,2.103835252,Control
SRR8781959,3.119649017,Control
SRR9323340,3.347978884,Nano
SRR9323342,2.953922358,Nano
SRR9323343,3.327794766,Nano
SRR9323344,3.282410864,Nano
SRR9323345,3.425948524,Nano
SRR9323346,2.969316017,Nano
SRR9323347,3.247293628,Nano
SRR9323348,3.324736115,Nano
SRR9323349,3.60714733,Nano
SRR9323350,3.622084423,Nano
SRR9323351,2.918964572,Nano
SRR9323352,3.168913702,Nano
SRR9323354,3.315676645,Control
SRR9323355,3.083364201,Control
SRR9323356,3.074741203,Nano
SRR9323357,3.249574504,Nano
SRR9323358,3.068596038,Control
SRR9323359,3.607829196,Control
SRR9323360,3.518793459,Control
SRR9323361,3.403509572,Control
SRR9323362,3.04164024,Nano
SRR9323363,2.9862359,Nano
SRR9323364,3.112018823,Nano
SRR9323365,2.905673422,Nano
SRR9323366,3.115588132,Nano
SRR9323367,3.269411788,Nano
SRR9323368,3.472288355,Nano
SRR9323369,3.431829582,Nano
SRR9323370,3.144941296,Nano
SRR9323371,2.790502588,Nano
SRR9323372,3.248018624,Nano
SRR9323373,2.935899005,Nano
SRR9323374,3.46005036,Control
SRR9323375,3.44835547,Control
SRR9323376,3.208981032,Control
SRR9323377,3.767512924,Control
SRR9323378,2.391910795,Nano
SRR9323379,2.881445989,Nano
SRR9323380,2.755734192,Nano
SRR9323381,2.909979961,Nano
SRR9323382,3.028000885,Nano
SRR9323383,2.836279692,Nano
SRR9323384,3.216602896,Control
SRR9323385,2.915128405,Nano
SRR9323386,3.19274216,Nano
SRR9323387,2.910820074,Nano
SRR9323388,3.417627596,Nano
SRR9323389,2.827815637,Nano
SRR9323390,3.316864462,Nano
SRR9323391,3.05859232,Nano
SRR9323392,3.072561304,Nano
SRR9323393,3.080055673,Nano
SRR9323394,3.657410455,Nano
SRR9323395,3.103087021,Nano
SRR9323396,2.823517215,Nano
SRR9323397,3.02424917,Nano
SRR9323399,3.603293855,Control
SRR12380987,4.225520396,Control
SRR12380988,4.312323023,Control
SRR12380994,3.74862741,Nano
SRR12380995,3.782618982,Nano
