names	group
SRR8781926	Control
SRR8781929	Nano
SRR8781930	Nano
SRR8781931	Control
SRR8781940	Control
SRR8781942	Nano
SRR8781943	Nano
SRR8781944	Nano
SRR8781945	Nano
SRR8781946	Nano
SRR8781947	Nano
SRR8781948	Nano
SRR8781949	Nano
SRR8781951	Nano
SRR8781952	Nano
SRR9323340	Nano
SRR9323341	Nano
SRR9323342	Nano
SRR9323343	Nano
SRR9323344	Nano
SRR9323345	Nano
SRR9323346	Nano
SRR9323347	Nano
SRR9323348	Nano
SRR9323349	Nano
SRR9323350	Nano
SRR9323351	Nano
SRR9323352	Nano
SRR9323354	Control
SRR9323355	Control
SRR9323356	Nano
SRR9323357	Nano
SRR9323358	Control
SRR9323359	Control
SRR9323360	Control
SRR9323361	Control
SRR9323362	Nano
SRR9323363	Nano
SRR9323364	Nano
SRR9323365	Nano
SRR9323366	Nano
SRR9323367	Nano
SRR9323368	Nano
SRR9323369	Nano
SRR9323370	Nano
SRR9323371	Nano
SRR9323372	Nano
SRR9323373	Nano
SRR9323374	Control
SRR9323375	Control
SRR9323376	Control
SRR9323377	Control
SRR9323378	Nano
SRR9323379	Nano
SRR9323380	Nano
SRR9323381	Nano
SRR9323382	Nano
SRR9323383	Nano
SRR9323384	Control
SRR9323385	Nano
SRR9323386	Nano
SRR9323387	Nano
SRR9323388	Nano
SRR9323389	Nano
SRR9323390	Nano
SRR9323391	Nano
SRR9323392	Nano
SRR9323393	Nano
SRR9323394	Nano
SRR9323395	Nano
SRR9323396	Nano
SRR9323397	Nano
SRR9323399	Control
SRR12380987	Control
SRR12380988	Control
SRR12380994	Nano
SRR12380995	Nano
SRR12380996	Control
